Shape,Result,Number,Time
<http://SGKG4.org/shapes/Constraint1>,valid,15982,346.1363215446472
<http://SGKG4.org/shapes/Constraint3>,valid,98563,951.5444824695587
<http://SGKG4.org/shapes/Constraint5>,violated,137047,1550.47216629982
<http://SGKG4.org/shapes/Constraint2>,valid,40096,666.8423988819122
<http://SGKG4.org/shapes/Constraint3>,valid,94670,951.5284519195557
<http://SGKG4.org/shapes/Constraint2>,valid,52876,666.8955521583557
<http://SGKG4.org/shapes/Constraint5>,valid,149076,1550.5271997451782
<http://SGKG4.org/shapes/Constraint2>,valid,57710,666.9175853729248
<http://SGKG4.org/shapes/Constraint3>,valid,88112,951.5064496994019
<http://SGKG4.org/shapes/Constraint2>,valid,54444,666.9045858383179
<http://SGKG4.org/shapes/Constraint4>,valid,109674,1230.6538770198822
<http://SGKG4.org/shapes/Constraint5>,valid,140467,1550.4892029762268
<http://SGKG4.org/shapes/Constraint1>,valid,13224,346.1173267364502
<http://SGKG4.org/shapes/Constraint4>,valid,116789,1230.6848769187927
<http://SGKG4.org/shapes/Constraint2>,valid,60630,666.9301810264587
<http://SGKG4.org/shapes/Constraint2>,valid,34332,666.8183996677399
<http://SGKG4.org/shapes/Constraint1>,valid,10755,346.1023488044739
<http://SGKG4.org/shapes/Constraint4>,valid,104437,1230.6298787593842
<http://SGKG4.org/shapes/Constraint4>,valid,108405,1230.6488764286041
<http://SGKG4.org/shapes/Constraint5>,valid,162125,1550.5902025699615
<http://SGKG4.org/shapes/Constraint1>,valid,17274,346.14531683921814
<http://SGKG4.org/shapes/Constraint3>,valid,97606,951.5404853820801
<http://SGKG4.org/shapes/Constraint4>,valid,131028,1230.7479119300842
<http://SGKG4.org/shapes/Constraint5>,valid,145532,1550.5121700763702
<http://SGKG4.org/shapes/Constraint1>,valid,1373,346.04148411750793
<http://SGKG4.org/shapes/Constraint1>,valid,8367,346.08836126327515
<http://SGKG4.org/shapes/Constraint2>,valid,34723,666.8193643093109
